id,userID,state,lat,long,purpose,price,title,rooms,baths,area,photoUrl,contact_name
1753434,792123,active,25.053822,55.212933,for-rent,7700.0,"Big offer !!! . . Amazing and cosy 1 Bedroom big apartment with Wi-Fi in the heart of Jumeirah Village Circle, Dubai.",1,2,91.69530048,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170790211/7f71a54661bf4a389ccd3e38c766c5d6,Ahsan Zain Eddin
2911964,792123,active,25.062218,55.217732,for-rent,7500.0,AMAZING UPGRADED 1BHK FOR MONTHLY BASIS INCLUDING ALL BILLS - NO COMMISSION,1,1,67.8192192,https://bayut-production.s3.eu-central-1.amazonaws.com/image/179558505/00382359380f47efbf4d68c3ae91854c,Ahsan Zain Eddin
2408217,1176444,active,25.053231,55.209778,for-rent,5200.0,Brand New | Spacious 1br | Hot Deal | With Balcony,1,2,90.11594880000001,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170063902/86176551087d4f61ae454f0d8ccd0c3d,Mourad
2212381,804554,active,25.050708,55.213872,for-rent,7900.0,HOT DEAL/LUXURIOUS 1BED ROOM APARTMENT/FULLY FURNISHED/INTERNET TV/BALCONY,1,2,92.81013696000001,https://bayut-production.s3.eu-central-1.amazonaws.com/image/180245179/262dac16806b47b6989a42a689a22552,Rania Mrassi
2777452,1090133,active,25.036558,55.220825,for-rent,4500.0,BEAUITFUL STUDIO APARTMENT IN SPORT CITY,0,1,39.20508288,https://bayut-production.s3.eu-central-1.amazonaws.com/image/181291054/459388e809414fffb9288f2669791992,Shahzad Gulfam
2954821,697845,active,25.193638,55.279085,for-rent,50000.0,TWO BEDROOM SPACIOUS APARTMENT IN ADDRESS DOWNTOWN,2,3,171.68481792,https://bayut-production.s3.eu-central-1.amazonaws.com/image/183545387/7a5d077081d34c428f0ecbf064b85d53,Tatsiana
2640648,1035142,active,25.213721,55.319042,for-rent,11000.0,Stylish 1 bed in Al Jaddaf - 8 min to Downtown,1,2,68.74824960000001,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170600380/8e091298fea34dfa8dc0e29683f5b4be,Timur
2547026,792123,active,25.062218,55.217732,for-rent,7500.0,AS A FIRST GUEST  BOOK THE LUXURY FULLY FURNISHED BRAND NEW 1BHK IN JVC,1,1,67.72631616000001,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170789617/123d0c65b9e04ba7a7cb9e7565cf4864,Ahsan Zain Eddin
2949486,697842,active,25.05147,55.207718,for-rent,8000.0,FULLY FURNISHED TWO BEDROOM APARTMENT IN PANTHEON ELYSEE,2,2,72.09275904,https://bayut-production.s3.eu-central-1.amazonaws.com/image/182658356/fadb84fa4b1446e19e2ce9811e70c543,Negar
2949645,1090140,active,25.179787,55.269153,for-rent,6999.0,BRAND NEW FULLY FURNISHED STUDIO IN AG TOWER,0,1,52.67602368,https://bayut-production.s3.eu-central-1.amazonaws.com/image/182679014/41846f1803ea438cb79aef5a6ad1ff91,Ahmed
2930731,1113968,active,25.193282071462,55.281022489071,for-rent,19800.0,"Quiet, Clean and Peaceful | One BDR  | Downtown",1,2,91.41659136000001,https://bayut-production.s3.eu-central-1.amazonaws.com/image/183473738/49d649c423a7495ab4ec142b46dfff83,Westminster Holiday Homes Rental L. L. C
2930321,1171362,active,25.078374,55.137878,for-rent,13450.0,✪Beautiful 1 Bed Apt ✪BayCentral/Pool/Gym/Parking✪,1,1,60.386976,https://bayut-production.s3.eu-central-1.amazonaws.com/image/182157274/ded6d3815dee439a852e007e79667600,Luke International Rental Homes
2948229,1171362,active,25.127035,55.153242,for-rent,16000.0,✪Lovely 1 Bed Apt✪Pool ✪Fast WiFi✪ Parking✪,1,1,87.97917888,https://bayut-production.s3.eu-central-1.amazonaws.com/image/183243708/c014d045d18c4e64b4c6e3fc2091e773,Luke International Rental Homes
2442006,1176444,active,25.053231,55.209778,for-rent,4200.0,"BEAUTIFUL STUDIO APARTMENT IN PARC CITE,JVC",0,1,45.5224896,https://bayut-production.s3.eu-central-1.amazonaws.com/image/187063640/8d6792d49491425083b64bc16e764c19,Mourad
2872931,1090133,active,25.052848,55.206056,for-rent,4299.0,"SPACIOUS STUDIO APARTMENT IN AL ZAIN, JVC",0,1,46.45152,https://bayut-production.s3.eu-central-1.amazonaws.com/image/176011177/f17b5605d5a549c19547e3a54dca3e0c,Shahzad Gulfam
2904549,1161692,active,25.179952,55.265432,for-rent,10999.0,BRAND NEW TWO BED ROOM SPACIOUS APARTMENT IN ELITE,2,2,124.76878272,https://bayut-production.s3.eu-central-1.amazonaws.com/image/179210170/4e0e6f5e032a428796fad0c5ddcc740a,AMAL
1641992,792123,active,25.052817,55.20771,for-rent,5398.0,"Offer  you cant Resist FOR IMMEDIATE BOOKING ! Fully Furnished Studio in JVC , Free Wi-Fi",0,1,36.60379776,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170789650/f36d3675a44d458691fff01f8bbf7a81,Ahsan Zain Eddin
2424083,1090133,active,25.052897264715,55.206069483224,for-rent,7999.0,LUXURIOUS FULLY FURNISHED 2 BEDROOM APARTMENT AT AL ZUBAIDI RESIDENCE,2,3,116.1288,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170063105/76477a40bb2a4350ac8d8beecce51543,Shahzad Gulfam
2749140,697845,active,25.201816,55.270863,for-rent,40000.0,TWO BEDROOM APARTMENT W/ SEA VIEW IN SKY VIEW,2,3,143.34939072,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170062715/4f5c7cc96d934ebb83de7edf8b6f2b01,Tatsiana
1648013,792123,active,25.062218,55.217732,for-rent,6350.0,ATTRACTIVE OCT OFFER- Stunning Fully Furnished Studio in JVC With free WI-FI,0,1,49.7031264,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170789792/04d041ee635446339082a9814cbba59e,Ahsan Zain Eddin
2214408,713291,active,25.050708,55.213872,for-rent,7900.0,Amazing 1 BR/ Fully Furnished/Balcony/WI-FI,1,2,92.81013696000001,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170860316/995456ef37fd420c87c208eaa5a7205f,Rami
2776211,1135377,active,25.200943,55.280921,for-rent,24999.0,Stunning Two Bedroom Flat with Direct Access To Dubai Mall,2,3,121.98169152,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170466184/9df0045c05b6437197c48ca3ecce9c5e,Sahar Al Soussi
2773280,944085,active,25.098594,55.121129,for-rent,285000.0,All Bills Included | Luxury Villa | Brand New Furnishings,5,5,612.6955488000001,https://bayut-production.s3.eu-central-1.amazonaws.com/image/170738031/ba718a8615d44eedb00c6061045ff1f4,Cheryl Jean Vaughn
2693442,841590,active,25.027453,55.155238,for-rent,6500.0,Furnished Apartment with Pool View | near Metro,1,1,79.8966144,https://bayut-production.s3.eu-central-1.amazonaws.com/image/173824676/b2f59677347c4c3a857425e7bf9a4824,Joan Pascua
2997193,992908,active,25.072621365655,55.127983689308,for-rent,22000.0,Private Beach Access | Brand New Furnishings | Bills Included,2,3,149.5738944,https://bayut-production.s3.eu-central-1.amazonaws.com/image/186998628/0896ec5153b747218653e09a47c46272,Matthew Morio
